Brand,Name,Location,Rating,Number of Ratings,Price
Kracher,"Kracher
Cuvée Auslese 2019","Burgenland, Austria",4.0,57 ratings,29.99
Volpaia,"Volpaia
Vin Santo del Chianti Classico 2014","Vin Santo del Chianti Classico, Italy",4.0,36 ratings,53.99
Adanti,"Adanti
Montefalco Sagrantino d'Arquata Passito 2014","Montefalco Sagrantino, Italy",4.0,30 ratings,44.99
Bartenura,"Bartenura
Piemonte Brachetto 2018","Piemonte, Italy",3.7,43 ratings,14.99
Tessari,"Tessari
Tre Colli Recioto di Soave 2013","Recioto di Soave, Italy",3.7,39 ratings,42.99
Buller Wines,"Buller Wines
Premium Fine Tokay N.V.","Victoria, Australia",3.6,83 ratings,18.99
Domaine Huet,"Domaine Huet
Vouvray Le Mont Moelleux 2020","Vouvray, France",3.6,31 ratings,46.94
Cantina Bolzano / Kellerei Bozen,"Cantina Bolzano / Kellerei Bozen
Moscato Rosa 2012","Südtirol - Alto Adige, Italy",3.6,29 ratings,43.99
Château Doisy-Daëne,"Château Doisy-Daëne
L'Extravagant de Doisy-Daëne Sauternes 2001","Sauternes, France",4.9,31 ratings,Available online from $285
Château d'Yquem,"Château d'Yquem
Sauternes 1990","Sauternes, France",4.8,1953 ratings,Available online from $489
Château d'Yquem,"Château d'Yquem
Sauternes 1989","Sauternes, France",4.8,1054 ratings,Available online from $450
Château d'Yquem,"Château d'Yquem
Sauternes 2015","Sauternes, France",4.8,738 ratings,Available online from $500
Château d'Yquem,"Château d'Yquem
Sauternes 2016","Sauternes, France",4.8,717 ratings,Available online from $299
Château d'Yquem,"Château d'Yquem
Sauternes 2017","Sauternes, France",4.8,299 ratings,Available online from $299.98
Château Gilette,"Château Gilette
Sauternes (Crème de Tête) 1997","Sauternes, France",4.8,38 ratings,Available online from $267
